city,state,region,population,lat,long,tree_city_usa,ref_number_trees,ref_number_species,ref_effective_species,ref_percent_native,ref_most_common_species,ref_most_common_genus,elevation_m,area_km2,pct_water,pct_parkland,pct_impervious_proxy,population_density_per_km2,trees_per_km2,trees_per_1000_pop
Knoxville,Tennessee,South,183270,35.9606384,-83.9207392,yes,10000,137,50.7246312802159,0.70711457401967,Acer rubrum,Acer,283.0,275.75839426722433,,,,664.603521814831,36.263628625243136,54.56430403230206
Las Vegas,Nevada,West,603488,36.1699412,-115.1398296,yes,39193,120,24.5475937763767,0.267122555828614,Pinus brutia,Pinus,615.0,367.75842174241,,,,1640.9902923248421,106.57267837486005,64.94412482104035
Los Angeles,California,West,3884307,34.0522342,-118.2436849,yes,720140,528,72.6115364150207,0.0744017336168536,Washingtonia robusta,Washingtonia,102.0,1361.8630621818022,,,,2852.2008620874567,528.7903167344036,185.39729223256555
Louisville,Kentucky,South,609893,38.2526647,-85.7584557,yes,32711,227,70.3114857670796,0.866955248583615,Acer saccharum,Quercus,144.0,878.1766055980904,,,,694.4992568831034,37.24877182047211,53.63399809474777
Madison,Wisconsin,Midwest,243344,43.0730517,-89.4012302,yes,96042,99,14.1587528696539,0.560092840061893,Acer platanoides,Acer,273.0,274.11205160579203,,,,887.7537436769092,350.374963221685,394.675849825761
Miami,Florida,South,417650,25.7616798,-80.1917902,yes,732,104,51.0577939426183,0.413547237076649,Pinus elliottii,Eugenia,22.0,143.2026126436604,,,,2916.497068662172,5.111638583169424,1.7526637136358194
Milwaukee,Wisconsin,Midwest,599164,43.0389025,-87.9064736,yes,32260,113,30.0466210539994,0.690416666666667,Fraxinus pennsylvanica,Acer,194.0,258.06357095214247,,,,2321.7690036193217,125.0079578492021,53.84168608260843
Minneapolis,Minnesota,Midwest,400070,44.977753,-93.2650108,yes,190766,106,17.2217954222761,0.712545832314837,Fraxinus pennsylvanica,Acer,267.0,148.90631569156363,,,,2686.722844104766,1281.1142302059384,476.8315544779664
Nashville,Tennessee,South,634464,36.1626638,-86.7816016,yes,2059,55,26.3820820169002,0.423236514522822,Platanus acerifolia,Quercus,168.0,1288.7920838698126,,,,492.29352658259376,1.5976199929918176,3.245258990265799
New Orleans,Louisiana,South,378715,29.9510658,-90.0715323,yes,105813,297,19.0689742939987,0.477452975333763,Lagerstroemia indica,Lagerstroemia,13.0,908.9604439006471,,,,416.64629362176623,116.41100634250017,279.40007657473296
New York,New York,Northeast,8405837,40.7127837,-74.0059413,yes,683788,124,27.0904210017016,0.300330979037994,Platanus acerifolia,Acer,51.0,1218.9471083650944,,,,6895.981738924078,560.9660954995222,81.34680698662132
Oakland,California,West,406253,37.8043637,-122.2711137,yes,38613,164,36.0069255703731,0.0179206803783737,Platanus acerifolia,Pyrus,18.0,204.13710289562854,,,,1990.098782815143,189.15228761594653,95.04668273218905
Oklahoma City,Oklahoma,South,610613,35.4675602,-97.5164276,yes,10000,92,34.3217767284056,0.584135451698945,Juniperus virginiana,Quercus,392.0,1607.8519027978896,,,,379.7694295957526,6.219478288142451,16.376985095305866
Ontario,California,West,167500,34.0633443,-117.6508876,no,58577,227,51.9706475234264,0.0515628522052746,Lagerstroemia indica,Lagerstroemia,308.0,129.39545204472267,,,,1294.4813542759396,452.69751814580127,349.7134328358209
Orlando,Florida,South,255483,28.5383355,-81.3792365,yes,68211,146,11.7308382513696,0.624384334603185,Quercus virginiana,Quercus,39.0,352.79314295612124,,,,724.1722383243026,193.34559461231865,266.988410187762
Overland Park,Kansas,Midwest,181260,38.9822282,-94.6707917,yes,45148,123,15.4124952498145,0.456019620916278,Acer rubrum,Acer,329.0,168.34723465133618,,,,1076.7031628134994,268.1837934166604,249.07867152157124
